Mapping file: gcpt_drug_ndc.csv

Found 566 relevant mappings in tokenizer. Please try to manually map this file!!!



Found codes in tokenizer:
Code                                                         Domain                                                       OMOP Code                                                   
Melatonin 1mg/tab                                            Drug                                                         1301233                                                     
HYDROmorphone                                                Drug                                                         1126658                                                     
PHENYLEPHrine                                                Drug                                                         1135766                                                     
Buprenorphine HCl Buprenophrine HCl                          Drug                                                         1133201                                                     
Acetylcysteine 600 mg Cap                                    Drug                                                         1139058                                                     
NAC 600                                                      Drug                                                         1139058                                                     
Clobazam Clobazam                                            Drug                                                         19050832                                                    
Vagifem vagifem                                              Drug                                                         1548195                                                     
Formoterol Fumarate 12 mcg Inhl CpDv                         Drug                                                         42708523                                                    
Sodium Chloride Syringe                                      Drug                                                         40141424                                                    
Candesartan Cilexetil 16mg                                   Drug                                                         1351582                                                     
Phenobarbital 15 mg Tab                                      Drug                                                         734850                                                      
Eplerenone 50 mg Oral Tab                                    Drug                                                         1309801                                                     
Fentanyl Citrate 500mcg/10mL Amp                             Drug                                                         1154029                                                     
Isradipine 5 mg                                              Drug                                                         1326083                                                     
zidovudine 50mg/5ml                                          Drug                                                         1710656                                                     
Racepinephrine                                               Drug                                                         1300153                                                     
Tretinoin (Emollient) 0.04% gel                              Drug                                                         19097797                                                    
Ascorbic Acid 500 mg/mL Injection                            Drug                                                         19080924                                                    
exemestane 25 mg Tab                                         Drug                                                         19077218                                                    
Glucosamine Chondroitin MaxStr 1                             Drug                                                         40131392                                                    
sorafenib 200 mg Tab                                         Drug                                                         1363389                                                     
Albuterol 0.083% Neb Soln                                    Drug                                                         1154501                                                     
Bosentan 125 mg Tab                                          Drug                                                         1321641                                                     
Pantoprazole Sodium 40mg Vial                                Drug                                                         19085107                                                    
Leuprolide Acetate 7.5 mg                                    Drug                                                         40240986                                                    
Calcium Replacement (Oncology)                               Drug                                                         19018544                                                    
Gluco Sulfate NaCl-Chond Su Na tab                           Drug                                                         40131393                                                    
Water Water                                                  Drug                                                         19010309                                                    
Aripiprazole 5 mg Tab                                        Drug                                                         19102213                                                    
Mesalamine Desensitization 0.025 mg / 10 mL                  Drug                                                         968426                                                      
Meperidine                                                   Drug                                                         1102527                                                     
Phenylephrine HCl                                            Drug                                                         1135766                                                     
Aspirin (Rectal)                                             Drug                                                         1112807                                                     
Dextran  1 (Promit) 1                                        Drug                                                         1319182                                                     
Adefovir Dipivoxil 10mg                                      Drug                                                         40168219                                                    
Vancomycin fortified opthalmic 50mg/ml                       Drug                                                         1707687                                                     
Lidocaine Viscous 2% 120ml Bottle                            Drug                                                         989878                                                      
Midazolam                                                    Drug                                                         708298                                                      
melatonin 1 mg Tab                                           Drug                                                         1301156                                                     
Vasopressin 20U/ML VIAL                                      Drug                                                         1507839                                                     
Levalbuterol (Xopenex) 0.63 mg/3 mL                          Drug                                                         1192218                                                     
Heparin Sodium                                               Drug                                                         1367571                                                     
Halobetasol Propionate 0.05%                                 Drug                                                         40168956                                                    
Nitroglycerin SL                                             Drug                                                         1361711                                                     
sevelamer carbonate 2.4 gm                                   Drug                                                         1718121                                                     
roflumilast 500 mcg tablet                                   Drug                                                         40236899                                                    
Ribavirin *NF* 1 gm Vial                                     Drug                                                         1762711                                                     
Levothyroxine Sodium 50 mcg                                  Drug                                                         1501700                                                     
halobetasol propionate 0.05 % Topical Cream                  Drug                                                         949759                                                      
Epinephrine                                                  Drug                                                         1343916                                                     
Fentanyl Citrate Dummy Pkg for POE pump and PHA SS ordering  Drug                                                         1154029                                                     
Epoetin Alfa 4000U VIAL                                      Drug                                                         1301180                                                     
Warfarin 10 mg                                               Drug                                                         40163517                                                    
Clobazam 10mg                                                Drug                                                         19050837                                                    
Amlodipine 5 mg                                              Drug                                                         1332450                                                     
Aspirin                                                      Drug                                                         1112807                                                     
Water 500ml                                                  Drug                                                         19010309                                                    
Mesalamine Desensitization 0.5 mg / 10 mL                    Drug                                                         968426                                                      
Phenylephrine HCl 1% Phenylephrine 1%                        Drug                                                         1135766                                                     
desvenlafaxine 100 mg                                        Drug                                                         19129663                                                    
Haloperidol                                                  Drug                                                         766529                                                      
melatonin 1                                                  Drug                                                         1301233                                                     
Erlotinib 150 mg Tab                                         Drug                                                         19122519                                                    
Ipratropium bromide 1 SPRAY                                  Drug                                                         1112921                                                     
Posaconazole 40mg/mL Suspension                              Drug                                                         19125036                                                    
Thrombin 10,000 units                                        Drug                                                         1300673                                                     
Anti-Thymocyte Globulin (Rabbit) 25mg Vial                   Drug                                                         19136207                                                    
Mesalamine Desensitization 2.5 mg / 10 mL                    Drug                                                         968426                                                      
Albuterol Inhaler                                            Drug                                                         1154343                                                     
Diflunisal 500mg                                             Drug                                                         1126165                                                     
menthol (Icy Hot Patch) 5 %                                  Drug                                                         901656                                                      
Naltrexone 1.75 mg                                           Drug                                                         1714319                                                     
Dronedarone 400 mg tablets                                   Drug                                                         40163617                                                    
Nitroprusside Sodium 25mg/ml-2ml                             Drug                                                         46287575                                                    
Midazolam HCl                                                Drug                                                         708298                                                      
Potassium Chloride 10 meq                                    Drug                                                         19049429                                                    
Nitroprusside Sodium                                         Drug                                                         19020994                                                    
Bupivacaine 0.1% 250 mL CADD Med Cassette                    Drug                                                         732893                                                      
degarelix 120 mg syringe                                     Drug                                                         1718073                                                     
Botulinum Toxin Type A 100 unit/vial                         Drug                                                         35604244                                                    
EPINEPHRINE                                                  Drug                                                         1343916                                                     
Potassium Phosphate 3mmol/ml-50ml                            Drug                                                         19049024                                                    
ALBUTEROL                                                    Drug                                                         1154343                                                     
Mesalamine Desensitization 0.25 mg / 10 mL                   Drug                                                         968426                                                      
Clobazam 10mg tab                                            Drug                                                         19021852                                                    
Haloperidol 2 mg/ml                                          Drug                                                         19081395                                                    
HydrALAzine                                                  Drug                                                         1373928                                                     
Dornase Alfa 1 mg/mL Inhl Soln                               Drug                                                         19076733                                                    
saccharomyces boulardii 1 CAP                                Drug                                                         991855                                                      
Candesartan 8mg                                              Drug                                                         19113474                                                    
citrate 3mL Syringe                                          Drug                                                         19011034                                                    
Cefuroxime 500mg Tablet                                      Drug                                                         19075002                                                    
Epinephrine 1MG/ML AMP                                       Drug                                                         1344056                                                     
Econazole 1% Cream 30GM                                      Drug                                                         40162381                                                    
Topiramate 15mg sprinkle capsule                             Drug                                                         19028939                                                    
Fluticasone 50 mcg/Actuation Nasal Spray, Susp               Drug                                                         36250141                                                    
darifenacin SR 7.5 mg 24 hr Tab                              Drug                                                         916234                                                      
acetylcysteine 600 mg Cap                                    Drug                                                         1139058                                                     
Dronedarone 400 mg Tab                                       Drug                                                         40163617                                                    
Melatonin 5 mg Tab                                           Drug                                                         1301234                                                     
Clobazam 10mg TAB                                            Drug                                                         19021852                                                    
Fentanyl                                                     Drug                                                         1154029                                                     
Lactobacillus Rhamnosus (GG) 10 billion                      Drug                                                         19000811                                                    
balsalazide 750 mg Cap                                       Drug                                                         40168549                                                    
Lidocaine 1%                                                 Drug                                                         989878                                                      
Flaxseed Oil Flaxseed Oil                                    Drug                                                         1315342                                                     
Gentamicin 100mg Premix                                      Drug                                                         45892419                                                    
Balsalazide Balsalazide                                      Drug                                                         934262                                                      
Vancomycin ophthalmic solution 50mg/ml                       Drug                                                         1707687                                                     
Nifedipine (Bulk) 0.2% gel                                   Drug                                                         1318853                                                     
Vancomycin Enema Vancomycin 1mg/ml                           Drug                                                         1707687                                                     
Coenzyme Q10 100 mg                                          Drug                                                         1351160                                                     
Lansoprazole 15 mg Cap, Delayed Release                      Drug                                                         929953                                                      
Tizanidine 4 mg Tab                                          Drug                                                         778479                                                      
Bimatoprost 0.03&                                            Drug                                                         904528                                                      
Diltiazem 50MG/10ML VL                                       Drug                                                         1328165                                                     
methylphenidate SR  20 mg                                    Drug                                                         705944                                                      
Acetaminophen IV 100 mL Bottle                               Drug                                                         19112656                                                    
Ampicillin Send Vial                                         Drug                                                         40009799                                                    
Ampicillin-Sulbactam Send Vial                               Drug                                                         40009679                                                    
Caffeine Citrate 1 Syringe                                   Drug                                                         1135469                                                     
Calcium Gluconate Bag                                        Drug                                                         35603394                                                    
Calcium Gluconate sliding scale (Critical Care-Ionized calcium) Send Vial Drug                                                         35603394                                                    
CefePIME Send Vial                                           Drug                                                         46287354                                                    
CefTAZidime Send Vial                                        Drug                                                         46275516                                                    
CefTRIAXone Send Vial                                        Drug                                                         46287328                                                    
Epoetin Alfa Send Vial                                       Drug                                                         35605564                                                    
Filgrastim Send Vial                                         Drug                                                         46234500                                                    
Filgrastim-sndz Syringe                                      Drug                                                         40141762                                                    
Furosemide 1 Syringe                                         Drug                                                         40040328                                                    
Gentamicin 10 mL Vial                                        Drug                                                         1592211                                                     
Gentamicin Send Vial                                         Drug                                                         1594373                                                     
Insulin Dummy Package for Sliding Scale                      Drug                                                         1596977                                                     
Iso-Osmotic Dextrose 200ml Bag                               Drug                                                         36249735                                                    
Magnesium Sulfate 100 mL Bag                                 Drug                                                         46275282                                                    
Magnesium Sulfate 50 mL Bag                                  Drug                                                         46275280                                                    
Magnesium Sulfate Replacement (Critical Care and Oncology) 100 mL Bag Drug                                                         46275282                                                    
Magnesium Sulfate Replacement (Critical Care and Oncology) 50 mL Bag Drug                                                         46275280                                                    
Magnesium Sulfate Replacement (Oncology) 50 mL Bag           Drug                                                         46275280                                                    
Meropenem Send Vial                                          Drug                                                         35606001                                                    
Pantoprazole Send Vial                                       Drug                                                         948080                                                      
PHENYLEPHrine 20mL Syringe                                   Drug                                                         40074086                                                    
Phenylephrine 60mL Syringe                                   Drug                                                         40074086                                                    
Vancomycin Bag                                               Drug                                                         40087247                                                    
